#{"t_start": 1645276490.6906502, "env_id": "scenario2_None_None-v1"}
r,l,t
20.777143,187,1.101391
15.647143,250,2.599357
18.134286,211,3.817571
10.647143,250,5.295276
0.0,95,5.918993
13.177143,250,7.404141
18.535714,215,8.643179
13.558571,117,9.311426
10.481429,250,10.791383
-2.702857,82,11.266047
0.0,250,11.905708
-3.595714,81,12.573124
0.935714,82,13.072658
1.071429,108,13.649945
-1.771429,101,14.306366
9.361429,116,15.014881
19.994286,192,16.18793
-3.048571,161,17.141423
0.0,95,18.13665
13.687143,140,18.963221
15.647143,250,20.352046
-0.678571,129,21.092547
2.514286,113,21.770232
-1.791429,64,22.159773
0.747143,92,22.72849
0.232857,134,23.570039
0.0,250,24.122859
8.24,220,25.58676
-1.995714,126,26.334455
9.018571,250,27.802724
5.504286,250,29.238747
0.0,104,30.250564
-0.772857,250,31.764973
-0.287143,250,33.309607
10.845714,250,34.805665
-3.78,214,36.037561
0.0,104,36.296326
2.84,250,37.778017
4.337143,250,39.242865
-5.168571,89,39.712226
3.33,250,41.183541
0.0,250,42.278358
2.718571,250,43.74585
-3.392857,149,44.577748
3.935714,250,46.043183
3.212857,250,47.436563
0.0,250,48.160745
4.015714,250,49.637822
2.994286,250,51.114372
2.825714,250,52.532962
9.737143,250,54.043709
0.0,250,54.212466
2.498571,250,55.813802
3.801429,250,57.275134
7.158571,250,58.786269
4.062857,250,60.206665
0.0,250,60.375455
-1.192857,250,61.861551
3.6,250,63.390931
4.01,250,64.78051
4.322857,250,66.279872
0.0,250,66.451763
6.081429,250,67.945454
5.724286,250,69.352556
-1.912857,223,70.6853
1.828571,250,72.181583
0.0,250,72.448516
3.2,250,73.921011
-1.187143,250,75.436321
2.855714,250,76.899599
3.191429,250,78.415
0.0,250,78.58205
1.504286,250,80.051174
4.181429,250,81.430995
6.114286,250,82.896272
5.918571,250,84.281968
0.0,250,84.451132
4.498571,250,85.921741
3.017143,250,87.399049
1.281429,250,88.817901
6.46,250,90.306304
0.0,250,90.475443
10.027143,250,91.969044
2.85,250,93.368497
3.761429,250,94.820824
5.905714,250,96.193076
0.0,250,96.361287
0.278571,250,97.856203
6.718571,250,99.347322
4.785714,250,100.720569
5.16,250,102.1706
0.0,250,102.340175
7.334286,250,103.79158
3.395714,250,105.162517
3.571429,250,106.61017
5.731429,250,107.984647
0.0,250,108.152227
4.865714,250,109.600303
4.194286,250,111.048824
2.588571,250,112.420297
3.127143,250,113.871021
0.0,250,114.038392
2.381429,250,115.488964
2.455714,250,116.856907
4.161429,250,118.308184
2.198571,250,119.675114
0.0,250,119.842281
2.17,250,121.288355
2.215714,250,122.731608
3.367143,250,124.099805
4.022857,250,125.544217
0.0,250,125.711031
1.758571,250,127.156038
1.105714,250,128.524838
1.82,250,129.973178
2.441429,250,131.368381
0.0,250,131.536952
2.358571,250,133.018101
3.892857,250,134.514343
4.524286,250,135.912623
1.7,250,137.526493
0.0,250,137.694221
2.715714,250,139.149923
1.602857,250,140.542367
2.822857,250,142.025598
2.345714,250,143.421409
0.0,250,143.593589
1.847143,250,145.070949
1.217143,250,146.641937
2.548571,250,148.165489
