#{"t_start": 1645276490.691206, "env_id": "scenario2_None_None-v1"}
r,l,t
19.155714,250,1.475761
14.46,250,2.96982
23.51,250,4.376703
7.455714,190,5.485506
0.0,95,5.918776
35.318571,247,7.320205
19.652857,168,8.356422
22.817143,230,9.681805
19.454286,250,11.170144
0.0,250,11.905566
20.864286,247,13.547805
-0.662857,100,14.124964
23.4,250,15.706993
8.615714,164,16.665781
3.067143,64,17.048132
0.668571,173,18.070544
0.0,95,18.136445
13.972857,250,19.606597
11.517143,250,20.995633
8.89,127,21.766289
-3.102857,90,22.336934
12.687143,233,23.674422
0.0,250,24.122648
12.051429,250,25.772864
3.674286,250,27.249463
10.222857,250,28.683649
2.884286,250,30.178319
0.0,104,30.250346
1.144286,250,31.765181
-3.652857,71,32.182305
-0.141429,250,33.76268
0.651429,211,35.00112
0.0,104,36.29611
3.985714,250,37.777814
0.392857,250,39.242657
-3.454286,95,39.796143
4.792857,250,41.18748
-3.668571,119,41.923338
0.0,250,42.278151
3.17,250,43.745646
2.631429,250,45.132334
3.61,250,46.601511
2.861429,250,47.99186
0.0,250,48.160534
3.468571,250,49.637598
2.081429,250,51.114098
4.357143,250,52.532684
4.311429,250,54.043438
0.0,250,54.212253
4.39,250,55.813582
3.892857,250,57.274951
3.642857,250,58.786031
-3.808571,102,59.361507
0.0,250,60.375269
2.88,250,61.861345
2.727143,250,63.390711
3.867143,250,64.780277
8.074286,250,66.27962
0.0,250,66.451551
3.997143,250,67.945336
6.055714,250,69.352323
0.151429,250,70.882073
3.742857,250,72.280235
0.0,250,72.448324
2.078571,250,73.920804
3.028571,250,75.436116
3.318571,250,76.899405
2.344286,250,78.414798
0.0,250,78.581836
2.954286,250,80.050969
3.254286,250,81.430794
3.225714,250,82.896062
2.841429,250,84.281762
0.0,250,84.450918
3.164286,250,85.921537
7.474286,250,87.398842
3.392857,250,88.81769
3.815714,250,90.306109
0.0,250,90.475232
5.287143,250,91.96884
4.647143,250,93.368286
2.451429,250,94.82061
4.482857,250,96.192876
0.0,250,96.361081
2.297143,250,97.856147
2.505714,250,99.347122
8.022857,250,100.720361
6.432857,250,102.170394
0.0,250,102.339963
5.825714,250,103.791376
6.198571,250,105.162309
3.222857,250,106.609962
2.034286,250,107.984439
0.0,250,108.152014
5.048571,250,109.600091
4.772857,250,111.048616
2.837143,250,112.420091
2.302857,250,113.870812
0.0,250,114.038172
3.718571,250,115.488753
0.442857,250,116.856693
4.37,250,118.307983
3.97,250,119.674907
0.0,250,119.842074
4.495714,250,121.288147
1.612857,250,122.731401
2.53,250,124.099599
1.834286,250,125.544015
0.0,250,125.710812
1.587143,250,127.155847
1.987143,250,128.524632
2.615714,250,129.97297
2.515714,250,131.368175
0.0,250,131.536738
4.721429,250,133.017891
2.847143,250,134.514143
3.842857,250,135.912439
2.534286,250,137.526373
0.0,250,137.693998
1.927143,250,139.149717
3.021429,250,140.542162
3.215714,250,142.025399
1.891429,250,143.421223
0.0,250,143.593421
2.528571,250,145.070757
2.127143,250,146.641865
2.101429,250,148.165311
