#{"t_start": 1645276490.690769, "env_id": "scenario2_None_None-v1"}
r,l,t
8.577143,173,1.008901
2.378571,73,1.473001
20.268571,250,2.886609
36.004286,250,4.37394
19.171429,250,5.849444
0.0,95,5.918943
19.372857,250,7.404102
9.104286,116,8.079758
19.757143,192,9.211801
17.515714,250,10.605954
0.0,250,11.905659
7.747143,186,13.170021
2.724286,95,13.737327
-0.194286,57,14.118247
1.265714,66,14.520205
-0.584286,76,14.926499
-0.154286,73,15.418845
14.631429,250,16.94652
0.0,95,18.136602
9.568571,105,18.77523
9.147143,250,20.165802
9.112857,103,20.803202
6.674286,131,21.574617
0.65,111,22.242436
0.388571,75,22.635521
9.671429,201,23.856789
0.0,250,24.122808
3.977143,141,25.090813
-3.075714,84,25.673028
0.025714,102,26.23872
-1.448571,63,26.608952
-1.797143,112,27.251194
4.487143,250,28.685402
0.0,104,30.250514
4.707143,250,31.765024
1.152857,250,33.309562
7.027143,250,34.805622
3.675714,250,36.225208
0.0,104,36.296274
3.41,250,37.777968
3.487143,250,39.242818
-3.907143,168,40.171477
6.585714,250,41.647829
0.0,250,42.278307
1.632857,250,43.745803
2.422857,250,45.132429
3.157143,250,46.601618
-2.057143,247,47.989888
0.0,250,48.160695
5.38,250,49.637773
-3.472857,132,50.38537
3.365714,250,51.875109
5.637143,250,53.377663
0.0,250,54.212416
2.192857,250,55.813755
5.467143,250,57.275095
3.142857,250,58.786225
4.451429,250,60.206619
0.0,250,60.37542
2.874286,250,61.861505
3.807143,250,63.390888
-3.51,103,63.948262
1.745714,250,65.434854
0.0,250,66.451714
3.567143,250,67.945406
1.157143,250,69.352506
1.951429,250,70.882254
-3.261429,67,71.25801
0.0,250,72.448469
3.647143,250,73.920962
2.125714,250,75.436272
1.762857,250,76.899551
1.757143,250,78.414952
0.0,250,78.582
3.72,250,80.051128
2.505714,250,81.430946
2.677143,250,82.896222
3.381429,250,84.28192
0.0,250,84.451081
2.818571,250,85.921692
3.661429,250,87.399
6.474286,250,88.817852
4.645714,250,90.306254
0.0,250,90.475392
8.07,250,91.968995
4.777143,250,93.368448
6.134286,250,94.820774
3.268571,250,96.193027
0.0,250,96.361239
2.831429,250,97.856157
6.515714,250,99.347276
4.891429,250,100.72052
5.365714,250,102.170552
0.0,250,102.34013
5.98,250,103.791531
4.46,250,105.162468
5.958571,250,106.61012
6.604286,250,107.984597
0.0,250,108.152177
3.47,250,109.600252
8.324286,250,111.048773
2.501429,250,112.420247
3.49,250,113.870972
0.0,250,114.038339
6.84,250,115.488915
6.967143,250,116.856857
6.37,250,118.308135
3.947143,250,119.675065
0.0,250,119.842233
4.288571,250,121.288306
1.908571,250,122.731559
2.517143,250,124.099758
1.862857,250,125.544168
0.0,250,125.71098
1.798571,250,127.155988
1.43,250,128.524788
1.701429,250,129.973128
2.214286,250,131.368332
0.0,250,131.536902
3.14,250,133.018052
3.611429,250,134.514295
3.754286,250,135.912578
3.368571,250,137.526448
0.0,250,137.694169
2.031429,250,139.149874
1.368571,250,140.542318
2.92,250,142.025551
1.671429,250,143.421363
0.0,250,143.593562
2.01,250,145.0709
3.047143,250,146.64189
1.688571,250,148.165446
