#{"t_start": 1645276490.6913228, "env_id": "scenario2_None_None-v1"}
r,l,t
18.178571,250,1.475718
17.837143,250,2.969781
11.091429,250,4.376661
1.181429,70,4.835825
0.0,95,5.918727
16.141429,250,7.403883
15.488571,208,8.637529
12.652857,250,10.047254
-1.765714,85,10.594607
0.0,250,11.905526
-1.661429,109,12.692451
0.43,53,13.071463
-0.562857,67,13.450662
1.352857,86,13.938285
0.255714,201,15.22937
8.048571,89,15.713059
17.381429,250,17.233727
0.0,95,18.136398
12.437143,104,18.692343
0.711429,51,19.054256
-1.675714,119,19.703253
15.238571,250,21.190106
6.137143,88,21.673558
13.474286,217,23.007245
0.0,250,24.1226
10.692857,250,25.772997
-3.66,179,26.797158
4.885714,250,28.266741
-1.564286,250,29.796177
0.0,104,30.250295
5.681429,250,31.765235
-4.242857,97,32.453989
4.201429,250,33.862365
3.09,250,35.382771
-5.175714,140,36.215569
0.0,104,36.296059
2.202857,250,37.777766
2.47,250,39.242609
4.58,250,40.631492
0.227143,200,41.832263
0.0,250,42.278103
3.504286,250,43.745599
5.144286,250,45.13229
5.748571,250,46.601467
3.611429,250,47.991815
0.0,250,48.160488
3.971429,250,49.637549
4.354286,250,51.114051
3.468571,250,52.532638
3.341429,250,54.043392
0.0,250,54.212204
4.31,250,55.813535
4.212857,250,57.274909
8.094286,250,58.785987
3.97,250,60.206353
0.0,250,60.375224
3.512857,250,61.861298
2.415714,250,63.390663
4.201429,250,64.780234
2.414286,250,66.279576
0.0,250,66.451502
3.481429,250,67.945294
5.164286,250,69.352276
4.55,250,70.882026
5.731429,250,72.280187
0.0,250,72.448275
2.641429,250,73.920755
4.298571,250,75.436068
3.142857,250,76.899359
2.18,250,78.41475
0.0,250,78.581787
3.15,250,80.050921
2.715714,250,81.430746
4.991429,250,82.896016
3.34,250,84.281714
0.0,250,84.450872
3.542857,250,85.921488
4.004286,250,87.398792
5.61,250,88.817642
3.988571,250,90.30606
0.0,250,90.475182
6.991429,250,91.968793
3.47,250,93.368237
4.372857,250,94.820564
3.828571,250,96.192827
0.0,250,96.361035
1.807143,250,97.856108
4.867143,250,99.347077
9.247143,250,100.720313
14.385714,250,102.17035
0.0,250,102.339916
7.05,250,103.791331
2.524286,250,105.16226
4.314286,250,106.609914
4.674286,250,107.984391
0.0,250,108.151965
4.78,250,109.600043
4.497143,250,111.048567
3.165714,250,112.420042
2.287143,250,113.870766
0.0,250,114.038122
3.618571,250,115.488705
3.225714,250,116.856644
5.661429,250,118.307936
3.255714,250,119.674858
0.0,250,119.842025
2.438571,250,121.288098
2.808571,250,122.731354
2.431429,250,124.099551
2.055714,250,125.543966
0.0,250,125.710762
2.462857,250,127.155798
1.397143,250,128.524586
1.897143,250,129.972922
3.745714,250,131.368126
0.0,250,131.536692
2.647143,250,133.017842
3.2,250,134.514095
4.948571,250,135.912395
2.081429,250,137.526326
0.0,250,137.693947
1.504286,250,139.149669
1.52,250,140.542114
2.467143,250,142.025351
1.944286,250,143.421178
0.0,250,143.593376
1.308571,250,145.070711
1.724286,250,146.641818
2.062857,250,148.165269
