#{"t_start": 1645276490.690364, "env_id": "scenario2_None_None-v1"}
r,l,t
16.184286,250,1.4762
23.372857,250,2.970288
15.474286,250,4.377134
15.48,184,5.481731
0.0,95,5.919138
11.24,159,6.853477
13.754286,153,7.711231
17.488571,250,9.215087
14.612857,123,9.952389
9.575714,92,10.503569
-1.384286,153,11.359754
0.0,250,11.905848
2.161429,102,12.686992
1.075714,109,13.356417
-0.745714,85,13.839139
0.71,72,14.223621
-1.658571,98,14.916818
7.098571,235,16.283976
2.174286,112,16.954074
-0.942857,59,17.327112
0.0,95,18.136796
7.577143,89,18.681975
9.831429,250,20.073284
1.898571,206,21.290602
8.007143,161,22.24709
12.895714,128,23.011432
-2.812857,74,23.478902
0.0,250,24.123004
-0.357143,142,25.092068
1.612857,231,26.515991
0.541429,150,27.34736
-2.347143,141,28.175047
-1.055714,186,29.323003
0.0,104,30.250708
1.232857,250,31.764795
-2.164286,209,33.118957
4.942857,250,34.51846
2.767143,250,36.034022
0.0,104,36.296471
4.991429,250,37.77816
4.625714,250,39.243032
-1.765714,246,40.629063
4.607143,250,42.107111
0.0,250,42.278502
3.468571,250,43.746016
-1.61,206,44.860788
4.164286,250,46.327886
1.507143,250,47.800164
0.0,250,48.160887
2.824286,250,49.637961
3.87,250,51.11451
6.128571,250,52.533094
3.074286,250,54.043847
0.0,250,54.21261
3.612857,250,55.813962
1.371429,250,57.275287
2.567143,250,58.786427
5.94,250,60.206825
0.0,250,60.375588
5.158571,250,61.861715
5.837143,250,63.391095
-0.484286,250,64.780652
5.41,250,66.280037
0.0,250,66.451907
5.137143,250,67.945595
3.752857,250,69.3527
-0.441429,250,70.882463
4.104286,250,72.280645
0.0,250,72.448658
3.364286,250,73.921152
2.99,250,75.436463
2.452857,250,76.89976
3.33,250,78.415163
0.0,250,78.582195
2.585714,250,80.051316
4.614286,250,81.431134
1.797143,250,82.896415
3.777143,250,84.282111
0.0,250,84.451275
4.172857,250,85.921881
3.375714,250,87.399189
4.541429,250,88.818041
5.771429,250,90.306447
0.0,250,90.475589
8.767143,250,91.969181
2.017143,250,93.368641
3.255714,250,94.820964
4.207143,250,96.193218
0.0,250,96.361426
1.585714,250,97.856323
5.417143,250,99.347458
9.242857,250,100.720705
4.505714,250,102.170741
0.0,250,102.34032
5.057143,250,103.791723
3.581429,250,105.162662
7.768571,250,106.610308
6.892857,250,107.98479
0.0,250,108.152372
8.151429,250,109.600447
4.95,250,111.048967
4.787143,250,112.420441
2.242857,250,113.871161
0.0,250,114.038539
2.355714,250,115.489109
2.531429,250,116.85705
4.852857,250,118.308319
3.987143,250,119.675255
0.0,250,119.842426
2.938571,250,121.288494
2.372857,250,122.731753
2.43,250,124.099947
1.75,250,125.544359
0.0,250,125.71118
2.192857,250,127.15618
1.29,250,128.524979
2.367143,250,129.973322
3.084286,250,131.368519
0.0,250,131.537098
3.825714,250,133.018244
2.49,250,134.514481
3.201429,250,135.912751
2.128571,250,137.526623
0.0,250,137.69437
2.05,250,139.150065
1.325714,250,140.54251
2.484286,250,142.02574
2.345714,250,143.421546
0.0,250,143.593699
1.767143,250,145.07109
2.015714,250,146.642071
2.622857,250,148.165618
