#{"t_start": 1645276490.690986, "env_id": "scenario2_None_None-v1"}
r,l,t
7.128571,71,0.433593
21.004286,161,1.380685
7.912857,250,2.87644
24.11,250,4.282845
5.687143,110,4.93167
0.0,95,5.918861
6.66,250,7.404032
19.808571,211,8.63995
14.347143,130,9.398849
1.711429,150,10.234244
-2.861429,66,10.605072
4.187143,159,11.546534
0.0,250,11.90558
-0.688571,95,12.582964
1.672857,177,13.650508
-0.771429,102,14.307682
19.392857,224,15.70798
-2.444286,103,16.283645
4.205714,250,17.788562
0.0,95,18.136526
3.165714,250,19.60667
8.331429,250,20.995691
9.908571,121,21.762109
6.254286,130,22.531426
-1.125714,99,23.102067
0.0,250,24.122731
11.63,250,25.772083
3.997143,250,27.249535
6.454286,250,28.68368
10.467143,250,30.178373
0.0,104,30.250431
-0.757143,190,31.357536
4.782857,250,32.942078
4.712857,250,34.422971
1.98,250,35.938261
0.0,104,36.296196
2.741429,250,37.777894
2.85,250,39.24274
5.288571,250,40.631639
3.614286,250,42.109706
0.0,250,42.278232
0.05,250,43.745728
1.742857,250,45.132408
3.521429,250,46.601583
5.658571,250,47.991928
0.0,250,48.160618
1.195714,250,49.637699
2.482857,250,51.114201
6.165714,250,52.532788
3.331429,250,54.043541
0.0,250,54.212336
-3.937143,110,54.856084
4.257143,250,56.413388
4.445714,250,57.935273
3.734286,250,59.453338
-3.055714,93,60.009231
0.0,250,60.375345
-4.128571,132,61.207261
-3.464286,182,62.234026
0.668571,250,63.75819
2.598571,250,65.159219
0.0,250,66.451634
3.43,250,67.94533
7.48,250,69.352405
2.361429,250,70.882154
3.595714,250,72.280308
0.0,250,72.448399
4.367143,250,73.920887
3.508571,250,75.436197
0.185714,250,76.899482
2.445714,250,78.414877
0.0,250,78.581919
2.404286,250,80.05105
2.725714,250,81.430875
2.08,250,82.896145
4.238571,250,84.281845
0.0,250,84.451004
7.392857,250,85.921618
3.315714,250,87.398923
5.801429,250,88.817775
9.331429,250,90.306191
0.0,250,90.475311
4.978571,250,91.968922
3.814286,250,93.36837
4.128571,250,94.820694
5.0,250,96.192955
0.0,250,96.361165
1.431429,250,97.856087
6.314286,250,99.347202
5.207143,250,100.720445
4.027143,250,102.170474
0.0,250,102.340049
4.07,250,103.791459
3.014286,250,105.162391
4.182857,250,106.610047
6.444286,250,107.984519
0.0,250,108.152097
3.7,250,109.600173
5.964286,250,111.048699
4.007143,250,112.420175
2.317143,250,113.870895
0.0,250,114.038261
3.901429,250,115.488837
4.035714,250,116.856776
7.082857,250,118.308061
4.248571,250,119.674988
0.0,250,119.842154
4.144286,250,121.288231
2.664286,250,122.731484
2.94,250,124.099683
2.524286,250,125.544092
0.0,250,125.7109
2.567143,250,127.155927
2.131429,250,128.524712
2.475714,250,129.973055
2.531429,250,131.368256
0.0,250,131.536822
4.96,250,133.017975
5.068571,250,134.514224
5.225714,250,135.912511
4.631429,250,137.526372
0.0,250,137.694086
2.131429,250,139.149798
2.317143,250,140.542244
3.131429,250,142.025478
2.542857,250,143.421302
0.0,250,143.593495
1.731429,250,145.070841
1.221429,250,146.641813
1.93,250,148.165384
