#{"t_start": 1645276490.6900868, "env_id": "scenario2_None_None-v1"}
r,l,t
8.48,81,0.524128
15.585714,250,1.940585
14.962857,250,3.434324
15.19,173,4.461719
10.074286,144,5.295509
0.0,95,5.919265
14.357143,250,7.404445
13.742857,153,8.269339
17.551429,152,9.209272
15.362857,250,10.604195
1.858571,162,11.547914
0.0,250,11.905958
2.538571,158,12.987601
-1.194286,83,13.544078
5.525714,152,14.407102
7.181429,191,15.609157
-2.351429,112,16.280569
-2.26,120,16.956452
3.128571,112,17.60947
0.0,95,18.136914
16.404286,250,19.607137
1.44,125,20.260465
6.958571,142,21.091405
3.082857,54,21.47236
7.957143,236,22.826984
7.804286,77,23.294015
0.0,250,24.123128
10.965714,110,24.898005
1.212857,174,25.959034
9.301429,250,27.437189
6.345714,250,28.870158
0.0,104,30.250834
-3.381429,150,31.086367
2.39,250,32.754508
6.721429,250,34.229921
3.708571,250,35.666978
0.0,104,36.296596
3.9,250,37.77828
3.484286,250,39.243149
3.018571,250,40.632108
3.968571,250,42.110223
0.0,250,42.278627
3.037143,250,43.746137
-3.357143,128,44.481738
2.521429,250,45.868393
2.9,250,47.342825
0.0,250,48.161011
1.145714,250,49.638109
4.257143,250,51.114661
4.15,250,52.533243
3.517143,250,54.043989
0.0,250,54.212732
1.591429,250,55.814109
6.177143,250,57.275378
2.17,250,58.78654
1.771429,250,60.206955
0.0,250,60.375711
2.535714,250,61.861829
2.154286,250,63.391213
3.312857,250,64.780711
2.962857,250,66.28016
0.0,250,66.452031
1.595714,250,67.945591
6.42,250,69.352821
-3.898571,154,70.293397
1.347143,250,71.726389
0.0,250,72.448779
3.912857,250,73.921275
4.004286,250,75.436585
3.96,250,76.899884
11.455714,250,78.415279
0.0,250,78.58232
3.964286,250,80.051384
3.132857,250,81.431249
3.128571,250,82.896529
3.97,250,84.282226
0.0,250,84.451396
4.64,250,85.922004
3.378571,250,87.399309
3.348571,250,88.818163
5.918571,250,90.306568
0.0,250,90.475717
5.467143,250,91.969301
4.524286,250,93.368763
4.768571,250,94.821087
4.758571,250,96.193336
0.0,250,96.361541
5.042857,250,97.856088
3.818571,250,99.347576
6.911429,250,100.720826
8.101429,250,102.17086
0.0,250,102.340446
6.114286,250,103.791844
3.421429,250,105.162788
6.461429,250,106.61043
9.36,250,107.984913
0.0,250,108.152497
7.262857,250,109.60057
5.728571,250,111.04909
4.435714,250,112.420564
3.45,250,113.871279
0.0,250,114.038671
3.055714,250,115.489232
1.834286,250,116.857176
6.175714,250,118.308439
7.8,250,119.675378
0.0,250,119.842547
3.511429,250,121.288601
1.874286,250,122.731875
3.934286,250,124.100067
2.567143,250,125.544482
0.0,250,125.711307
1.751429,250,127.156295
1.075714,250,128.525102
1.438571,250,129.973445
4.352857,250,131.36864
0.0,250,131.537226
5.058571,250,133.018371
2.217143,250,134.514598
2.824286,250,135.912857
2.76,250,137.526287
0.0,250,137.694502
2.78,250,139.150185
1.62,250,140.542632
1.677143,250,142.025859
1.361429,250,143.421663
0.0,250,143.593815
2.225714,250,145.071211
2.902857,250,146.641391
2.548571,250,148.165724
