#{"t_start": 1645276490.6905332, "env_id": "scenario2_None_None-v1"}
r,l,t
9.344286,90,0.530534
1.914286,94,1.099296
7.182857,105,1.747755
9.025714,250,3.16065
24.18,216,4.462242
2.585714,162,5.389677
0.0,95,5.91904
18.231429,201,7.126288
19.608571,187,8.177859
15.682857,119,8.929788
11.81,250,10.325483
0.0,250,11.905753
-1.874286,65,12.479713
-2.038571,130,13.259022
2.195714,75,13.649238
-0.022857,81,14.128414
-0.782857,72,14.63142
-1.501429,132,15.420497
5.46,247,16.945567
0.0,95,18.136696
3.845714,81,18.594374
15.681429,250,20.067453
4.392857,157,20.906655
-0.377143,118,21.669726
10.522857,99,22.246177
0.314286,68,22.634048
9.291429,121,23.386297
-2.118571,56,23.674787
0.0,250,24.122906
5.588571,163,25.296433
4.23,212,26.517369
5.434286,250,27.985895
3.512857,250,29.42068
0.0,104,30.250609
6.8,250,31.764842
4.057143,250,33.309646
9.372857,250,34.805698
4.765714,250,36.225317
0.0,104,36.296371
4.14,250,37.778063
-0.665714,197,38.884598
-4.827143,250,40.353023
-0.368571,250,41.830523
0.0,250,42.278404
-3.797143,91,42.826825
3.661429,250,44.211975
-3.487143,107,44.855011
2.142857,250,46.322067
3.562857,250,47.712793
0.0,250,48.160789
2.128571,250,49.637866
3.561429,250,51.114415
0.937143,250,52.533002
4.661429,250,54.043754
0.0,250,54.212513
-4.625714,122,54.944873
3.734286,250,56.50452
5.181429,250,58.025545
3.164286,250,59.462594
0.0,250,60.375491
-2.854286,188,61.493942
3.024286,250,63.017534
-1.578571,95,63.575622
4.785714,250,64.971935
0.0,250,66.45181
4.781429,250,67.945497
-0.538571,250,69.352603
3.284286,250,70.882368
3.605714,250,72.280549
0.0,250,72.448563
4.014286,250,73.921057
2.201429,250,75.436367
-4.224286,109,76.110201
3.18,250,77.582537
0.0,250,78.582097
2.457143,250,80.05122
3.742857,250,81.43104
3.164286,250,82.896319
3.218571,250,84.282015
0.0,250,84.451176
2.432857,250,85.921784
4.751429,250,87.399093
11.15,250,88.817947
6.194286,250,90.30635
0.0,250,90.475491
11.375714,250,91.969087
9.124286,250,93.368543
2.768571,250,94.820869
4.227143,250,96.193121
0.0,250,96.361333
4.72,250,97.856235
2.395714,250,99.347365
10.334286,250,100.720607
7.028571,250,102.170646
0.0,250,102.340221
9.474286,250,103.791626
4.165714,250,105.162564
4.105714,250,106.610213
6.168571,250,107.984693
0.0,250,108.152273
7.112857,250,109.600349
5.165714,250,111.04887
4.362857,250,112.420343
2.98,250,113.871066
0.0,250,114.038441
7.165714,250,115.489011
2.985714,250,116.856953
4.614286,250,118.308224
4.32,250,119.67516
0.0,250,119.842328
4.81,250,121.288397
2.435714,250,122.731655
3.874286,250,124.099851
3.33,250,125.544264
0.0,250,125.71108
1.3,250,127.156083
0.991429,250,128.524881
2.47,250,129.973225
2.082857,250,131.368424
0.0,250,131.536999
3.584286,250,133.018148
2.964286,250,134.514386
4.987143,250,135.912659
3.171429,250,137.526532
0.0,250,137.69427
1.252857,250,139.149967
2.192857,250,140.542411
1.801429,250,142.025644
1.914286,250,143.421453
0.0,250,143.593602
1.988571,250,145.070996
2.542857,250,146.641978
2.157143,250,148.165528
