#{"t_start": 1645276490.6902452, "env_id": "scenario2_None_None-v1"}
r,l,t
-2.078571,90,0.530692
12.364286,250,2.028666
12.271429,250,3.440693
14.985714,121,4.187098
0.592857,94,4.744064
13.994286,177,5.758058
0.0,95,5.919185
16.654286,250,7.404373
15.681429,138,8.17798
20.268571,250,9.676534
15.348571,250,11.085613
-3.65,88,11.635234
0.0,250,11.905889
-1.191429,112,12.695895
-1.265714,176,13.742677
-1.864286,90,14.311051
-1.984286,77,14.825393
4.015714,116,15.514767
-1.718571,94,16.095767
-0.041429,59,16.47298
17.768571,250,17.891916
0.0,95,18.136839
13.205714,250,19.607101
20.14,234,20.903926
3.047143,146,21.769049
1.067143,76,22.247127
7.787143,81,22.727966
8.004286,117,23.393688
0.0,250,24.123048
10.217143,118,24.989667
-0.718571,113,25.67788
1.621429,250,27.156529
4.662857,250,28.587653
3.182857,250,30.084217
0.0,104,30.250754
4.358571,250,31.763929
1.53,250,33.309803
0.04,244,34.710975
3.428571,250,36.221203
0.0,104,36.296517
2.574286,250,37.778202
3.471429,250,39.243075
3.751429,250,40.632037
-1.87,56,40.999732
0.0,250,42.278547
2.418571,250,43.74606
-3.242857,154,44.581609
5.048571,250,46.047076
3.35,250,47.440413
-3.434286,87,47.985969
0.0,250,48.160932
-2.794286,94,48.708363
5.138571,250,50.197324
2.884286,250,51.676328
5.672857,250,53.108667
0.0,250,54.212655
0.878571,212,55.516254
-2.002857,141,56.408759
4.001429,250,57.930694
2.561429,250,59.362966
0.0,250,60.375633
1.582857,250,61.861751
2.945714,250,63.391139
7.545714,250,64.780654
5.461429,250,66.280081
0.0,250,66.451952
3.817143,250,67.945638
3.007143,250,69.352744
-0.998571,250,70.882503
4.197143,250,72.280684
0.0,250,72.448703
2.095714,250,73.921197
3.038571,250,75.436506
1.827143,250,76.899805
1.56,250,78.415206
0.0,250,78.582241
2.198571,250,80.051351
2.884286,250,81.431177
6.151429,250,82.896458
3.894286,250,84.282154
0.0,250,84.451318
4.217143,250,85.921925
4.014286,250,87.399234
5.968571,250,88.818086
5.895714,250,90.306491
0.0,250,90.475636
8.027143,250,91.969225
6.161429,250,93.368685
4.4,250,94.821008
4.371429,250,96.193261
0.0,250,96.361467
2.44,250,97.856348
7.412857,250,99.347503
13.312857,250,100.72075
5.382857,250,102.170784
0.0,250,102.340366
3.924286,250,103.791766
4.467143,250,105.162708
3.907143,250,106.610353
17.774286,250,107.984835
0.0,250,108.152418
8.74,250,109.600492
4.69,250,111.049011
1.76,250,112.420485
3.137143,250,113.871201
0.0,250,114.038587
3.035714,250,115.489153
1.88,250,116.857096
5.434286,250,118.308363
5.354286,250,119.6753
0.0,250,119.842469
4.205714,250,121.288525
2.647143,250,122.731798
2.247143,250,124.099989
2.514286,250,125.544403
0.0,250,125.711227
3.687143,250,127.156219
0.962857,250,128.525023
4.158571,250,129.973366
3.002857,250,131.368563
0.0,250,131.537144
2.014286,250,133.01829
5.101429,250,134.514522
5.394286,250,135.912783
2.828571,250,137.52665
0.0,250,137.694418
1.857143,250,139.150108
2.138571,250,140.542554
1.911429,250,142.025784
2.458571,250,143.421588
0.0,250,143.593742
1.485714,250,145.071133
2.144286,250,146.642103
3.698571,250,148.165656
