#{"t_start": 1645276490.6910982, "env_id": "scenario2_None_None-v1"}
r,l,t
9.535714,250,1.475794
5.418571,116,2.127255
9.47,250,3.620936
22.088571,250,5.111035
0.0,95,5.918816
1.627143,100,6.487824
18.202857,180,7.525429
11.617143,112,8.180398
18.385714,177,9.301576
10.248571,250,10.699645
0.0,250,11.905539
-0.617143,94,12.582143
11.787143,103,13.260366
-2.938571,162,14.216769
-1.074286,72,14.63717
6.462857,250,16.188454
-0.01,158,17.139654
0.0,95,18.136483
25.172857,250,19.606633
13.895714,165,20.53017
4.812857,129,21.289362
20.235714,250,22.817008
-2.075714,75,23.19697
-0.331429,77,23.671529
0.0,250,24.122689
1.954286,88,24.77819
0.841429,146,25.679532
6.822857,250,27.158255
3.867143,250,28.58931
6.117143,250,30.085893
0.0,104,30.250387
3.302857,250,31.76512
-0.987143,117,32.553324
5.362857,250,34.040091
-1.717143,131,34.803854
2.61,250,36.223541
0.0,104,36.296151
3.11,250,37.777851
2.587143,250,39.242696
4.428571,250,40.631601
-3.287143,158,41.557758
-2.728571,74,42.015687
0.0,250,42.278189
3.19,250,43.745685
-1.492857,250,45.132371
0.718571,250,46.601546
3.597143,250,47.991893
0.0,250,48.160574
-2.358571,130,48.976639
3.67,250,50.383724
5.508571,250,51.873423
5.752857,250,53.296032
0.0,250,54.212292
0.127143,250,55.813617
4.468571,250,57.274983
6.741429,250,58.786063
5.427143,250,60.206453
0.0,250,60.375304
4.212857,250,61.861376
3.23,250,63.390747
4.294286,250,64.780313
1.982857,250,66.279658
0.0,250,66.451591
6.654286,250,67.945371
3.992857,250,69.352362
1.921429,250,70.882112
2.821429,250,72.28027
0.0,250,72.44836
5.375714,250,73.920843
3.032857,250,75.436156
1.788571,250,76.899441
2.354286,250,78.414837
0.0,250,78.581875
0.952857,250,80.051008
4.2,250,81.430834
3.4,250,82.896102
3.531429,250,84.281801
0.0,250,84.450959
2.205714,250,85.921576
5.478571,250,87.398879
5.364286,250,88.817731
3.897143,250,90.306148
0.0,250,90.47527
9.157143,250,91.968879
3.948571,250,93.368326
8.302857,250,94.82065
5.45,250,96.192912
0.0,250,96.361121
3.232857,250,97.856161
5.322857,250,99.347161
6.331429,250,100.720401
3.53,250,102.170431
0.0,250,102.340004
4.182857,250,103.791415
3.662857,250,105.162348
4.238571,250,106.610002
8.075714,250,107.984475
0.0,250,108.152055
4.832857,250,109.600129
4.735714,250,111.048654
5.297143,250,112.420131
8.088571,250,113.870851
0.0,250,114.038215
3.778571,250,115.488793
1.85,250,116.856733
3.224286,250,118.308018
3.712857,250,119.674944
0.0,250,119.842111
2.687143,250,121.288187
4.684286,250,122.73144
2.68,250,124.099639
2.29,250,125.544052
0.0,250,125.710854
2.255714,250,127.155883
1.531429,250,128.524668
2.565714,250,129.973011
3.225714,250,131.368212
0.0,250,131.536778
3.15,250,133.017931
2.495714,250,134.514181
4.072857,250,135.912472
3.458571,250,137.526407
0.0,250,137.69404
1.818571,250,139.149757
1.755714,250,140.542202
1.435714,250,142.025435
1.771429,250,143.42126
0.0,250,143.593459
1.565714,250,145.070797
1.775714,250,146.641901
1.581429,250,148.165345
