#{"t_start": 1645276490.689898, "env_id": "scenario2_None_None-v1"}
r,l,t
8.347143,141,0.825264
2.774286,79,1.28874
3.455714,87,1.841564
8.47,118,2.509936
15.197143,250,4.000219
11.412857,129,4.743498
-2.401429,64,5.11333
0.0,95,5.919329
13.555714,250,7.404504
15.594286,106,7.993188
15.027143,130,8.745073
14.391429,250,10.231348
-0.814286,136,10.986804
-2.964286,105,11.636267
0.0,250,11.905863
-0.53,110,12.69422
1.984286,99,13.355167
-0.894286,58,13.6473
1.175714,87,14.213905
-2.601429,65,14.627865
6.127143,198,15.805824
4.195714,183,16.857417
-1.218571,120,17.603945
0.0,95,18.136989
-0.178571,103,18.6924
-2.154286,250,20.164907
21.312857,230,21.4826
12.532857,161,22.443699
9.302857,250,23.95013
0.0,250,24.123192
10.618571,139,25.08896
-1.172857,153,26.053142
8.08,250,27.443015
-1.027143,176,28.497825
4.545714,250,29.992001
0.0,104,30.250898
-1.545714,191,31.35905
-2.861429,122,32.17553
-3.09,182,33.306434
-0.412857,88,33.771979
2.762857,250,35.292064
0.0,104,36.296664
1.261429,250,37.778342
5.328571,250,39.243216
-3.588571,100,39.800571
4.052857,250,41.273316
0.0,250,42.27869
2.312857,250,43.746196
-4.675714,108,44.306049
3.155714,250,45.773045
3.527143,250,47.247314
0.0,250,48.161077
2.705714,250,49.638172
3.052857,250,51.114735
2.638571,250,52.533321
6.871429,250,54.044034
0.0,250,54.21279
5.34,250,55.81417
-3.358571,94,56.320314
-0.814286,250,57.843374
-4.938571,119,58.590499
7.68,250,60.017103
0.0,250,60.375781
3.645714,250,61.861899
4.357143,250,63.391274
2.488571,250,64.780748
2.955714,250,66.280232
0.0,250,66.452087
2.167143,250,67.945652
4.537143,250,69.352885
0.128571,250,70.882692
3.27,250,72.280872
0.0,250,72.448836
1.835714,250,73.921334
3.691429,250,75.436647
3.145714,250,76.899949
2.318571,250,78.415312
0.0,250,78.582387
-0.75,248,79.968877
1.927143,250,81.429901
3.114286,250,82.895187
3.404286,250,84.280876
0.0,250,84.451463
3.397143,250,85.922078
4.254286,250,87.39938
4.078571,250,88.818213
9.79,250,90.306627
0.0,250,90.475774
5.544286,250,91.969362
4.222857,250,93.368839
4.378571,250,94.821162
3.827143,250,96.193398
0.0,250,96.361602
4.848571,250,97.856128
6.997143,250,99.347637
8.31,250,100.72089
5.95,250,102.170922
0.0,250,102.340525
9.191429,250,103.791922
3.05,250,105.162869
3.24,250,106.610513
5.727143,250,107.984996
0.0,250,108.152566
13.84,250,109.600646
3.784286,250,111.049174
3.684286,250,112.420647
2.514286,250,113.87134
0.0,250,114.038772
2.467143,250,115.489314
4.56,250,116.857255
4.978571,250,118.308509
2.501429,250,119.675454
0.0,250,119.842608
3.742857,250,121.288676
2.654286,250,122.731952
4.097143,250,124.100145
2.938571,250,125.544545
0.0,250,125.711402
2.101429,250,127.156373
1.448571,250,128.525178
2.418571,250,129.973529
4.014286,250,131.3687
0.0,250,131.537297
3.125714,250,133.018443
3.761429,250,134.514641
2.558571,250,135.912916
1.884286,250,137.526347
0.0,250,137.694602
2.007143,250,139.150263
1.55,250,140.542706
2.02,250,142.025918
1.78,250,143.421727
0.0,250,143.593883
3.077143,250,145.071255
3.177143,250,146.641456
3.222857,250,148.165765
