RoundNumber,ExecutionTime
1,4.163965320999978
2,4.087817500000028
3,4.099342302000025
4,4.128118085999972
5,4.097648634000052
6,4.104926473999967
7,4.08172677400006
8,4.122387790000062
9,4.098778330000073
10,4.177121669999906
11,4.246391108000012
12,4.118838236999977
13,4.14509641199993
14,4.172907405000046
15,4.092609372999959
16,4.1959029959999725
17,4.167504858000029
18,4.1285318680000955
19,4.205991573999995
20,4.104866238
21,4.111967580999931
22,4.165793618000066
23,4.17573481699992
24,4.216871910999998
25,4.103761254999995
26,4.150351869000019
27,4.189172460999998
28,4.126426969999898
29,4.110896506000017
30,4.108081275000018
31,4.099552779999954
32,4.164929401999984
33,4.058927740000058
34,4.099929746999919
35,4.120576540000002
36,4.081432708000079
37,4.116657959999998
38,4.120400863999976
39,4.185258002999944
40,4.115324821999934
41,4.144532088999995
42,4.100733852000076
43,4.062492873999986
44,4.14191392500004
45,4.1527976309999985
46,4.144198608000011
47,4.130053883999949
48,4.1940399439999965
49,4.139607072999979
50,4.1727089220000835
51,4.117348769000046
52,4.13206471400008
53,4.1721746939999775
54,4.16971088899993
55,4.206278859999998
56,4.152586296999971
57,4.122743370999842
58,4.13017753500003
59,4.1212659360001
60,4.082755268000028
61,4.055069020000019
62,4.0772782760000155
63,4.02130284399982
64,4.054572309999912
65,4.01909028099999
66,4.036260303000063
67,4.1096663519999765
68,4.076376595000056
69,4.042271027999959
70,4.0436812599998575
71,4.072544509999943
72,4.195754608000016
73,4.041842568999982
74,4.078919902999814
75,4.103063858000041
76,3.9855974019999394
77,4.062516840000171
78,4.077876066000044
79,4.024242837999964
80,4.026577137000004
81,4.071692346999953
82,3.9909242410001298
83,4.013236527999879
84,4.072062869000092
85,3.9918591260000085
86,4.0817357759999595
87,4.0763209780000125
88,4.070915928999966
89,4.12054205000004
90,3.9950558360001196
91,4.0288466269998935
92,4.038281218000066
93,4.007357302999935
94,4.058866421000175
95,4.0522857200001
96,4.038967332999846
97,3.9957040950000646
98,4.032457888000181
99,4.117532768000046
100,4.013511750999896
