RoundNumber,ExecutionTime
1,2.2914503209999566
2,2.2743214890000445
3,2.2853808690000506
4,2.2894284420000304
5,2.2781683010000506
6,2.292302828000061
7,2.2849750970000287
8,2.2827673409999534
9,2.2824761269999954
10,2.2885701940000445
11,2.277653086999976
12,2.284360107999987
13,2.280975898999941
14,2.275634711000066
15,2.2918807600000264
16,2.283178874999976
17,2.2890447529999847
18,2.2852329020000752
19,2.287137620000067
20,2.290764856999999
21,2.284042582999973
22,2.2941730530000086
23,2.26854507500002
24,2.280679835000001
25,2.2930752549999625
26,2.2854116569999405
27,2.289267504999998
28,2.2834462280000025
29,2.2939375580000387
30,2.3031742539999414
31,2.266152527000031
32,2.294570861000011
33,2.2932791530000713
34,2.2691881920000014
35,2.2826732989999527
36,2.283671524000056
37,2.274251696999954
38,2.291571614000077
39,2.287816125000063
40,2.294953951000025
41,2.2832408919999807
42,2.282912249999981
43,2.278197175999935
44,2.274335987000086
45,2.2891839910000726
46,2.2871208609999485
47,2.3311671630001456
48,2.2747950579998815
49,2.27726662200007
50,2.2712723439999536
51,2.2921809140000278
52,2.26780983499998
53,2.27688581800021
54,2.285179355000082
55,2.2771253040000374
56,2.266446500000029
57,2.272855660999994
58,2.2847175670001434
59,2.2671369089998734
60,2.269215569999915
61,2.274729496999953
62,2.2775833199998488
63,2.277528883000059
64,2.2752288390001922
65,2.2658349430000726
66,2.2887212200000704
67,2.2756646430000274
68,2.309445122999932
69,2.2699200850001944
70,2.278858107999895
71,2.2835026239999934
72,2.283782862999942
73,2.2933232110001427
74,2.276969650999945
75,2.286171695999883
76,2.2882321479999064
77,2.281789432000096
78,2.284408547999874
79,2.289723773000105
80,2.2684780780000438
81,2.2798024850001184
82,2.2963153390001025
83,2.2718858760001694
84,2.279812274000051
85,2.2964811110000483
86,2.30765888499991
87,2.2783174549999785
88,2.278405166999846
89,2.2919436739998673
90,2.275837686000159
91,2.304988008999999
92,2.2851175499999954
93,2.2764777249999497
94,2.2896666540000297
95,2.2664445169998544
96,2.2961994360000517
97,2.2834409199999754
98,2.2916540220001025
99,2.2894779929999913
100,2.2810415070000545
