RoundNumber,ExecutionTime
1,2.079991526000015
2,2.079708070000038
3,2.095525063000025
4,2.073342643999979
5,2.0639943130000233
6,2.068623240000022
7,2.0582553810000377
8,2.054310100999942
9,2.0578189990000055
10,2.0694911990000264
11,2.0560937840000406
12,2.063924601999929
13,2.0697337200000447
14,2.07942644000002
15,2.065087349999999
16,2.0571462469999915
17,2.0545644730000276
18,2.059012937000034
19,2.061870158999909
20,2.094545221999965
21,2.0694190340000205
22,2.0583526830000665
23,2.0557334470000797
24,2.0469527999999855
25,2.073754187000077
26,2.070226733000027
27,2.058132068999953
28,2.075983727999983
29,2.060822849000033
30,2.0650043989999176
31,2.0588654340000403
32,2.076270776000001
33,2.066405949
34,2.06913454000005
35,2.066298679000056
36,2.046177817000057
37,2.049171324999975
38,2.0657937469999297
39,2.05787601499992
40,2.058631929999933
41,2.0624651159999985
42,2.0600024000000303
43,2.0712326530000382
44,2.0593807220000144
45,2.057997699999987
46,2.0577239929999678
47,2.1031476230000408
48,2.068386693999969
49,2.0665364850000287
50,2.1067641500000036
51,2.0426477999999406
52,2.0784446369999614
53,2.0526045889999978
54,2.0618433239999376
55,2.0595064039999897
56,2.0702789340000436
57,2.0678645369999913
58,2.0703363279999394
59,2.05320886100003
60,2.0586523949998536
61,2.0559447610000916
62,2.0586579800001346
63,2.0567533490000187
64,2.0656008490000204
65,2.0707822269998815
66,2.059788314999878
67,2.058491772000025
68,2.051147710000123
69,2.063892128000134
70,2.0552047470000616
71,2.0642844219999006
72,2.0685161030000927
73,2.0676465779999944
74,2.0250078419999227
75,2.050515257999905
76,2.0644047550001687
77,2.0731217139998535
78,2.056892831999903
79,2.054564214000038
80,2.0721814089999953
81,2.066511761999891
82,2.066082954999956
83,2.062559525999859
84,2.0658843060000436
85,2.091827272000046
86,2.083698228000003
87,2.064879936999887
88,2.0713504110001395
89,2.0543059720000656
90,2.069106355000031
91,2.062617111999998
92,2.0605373840000993
93,2.062838764999924
94,2.065375875999962
95,2.0701144080001086
96,2.0622353790001853
97,2.074923588000047
98,2.0709404790000008
99,2.069716870999855
100,2.0696159569999963
