RoundNumber,ExecutionTime
1,2.0085956589999796
2,2.007909138999935
3,2.0059913540000025
4,2.0060701689999405
5,2.00723557099991
6,2.007703228999958
7,2.0078074470000047
8,2.0072191490000932
9,2.0070582759999525
10,2.008579329999975
11,2.0078364640000927
12,2.009005307000052
13,2.0079796500000384
14,2.0073952459999873
15,2.007958787000007
16,2.0072715019999805
17,2.007566292999968
18,2.007288999000025
19,2.0071407780000072
20,2.007422699000017
21,2.007196387000022
22,2.0076306879999493
23,2.0079307480000352
24,2.0072023839999247
25,2.0076633159999346
26,2.009899487000098
27,2.0074897949999695
28,2.0073420229999783
29,2.0075909939999974
30,2.0075109330000487
31,2.007607493000023
32,2.0094166019999875
33,2.007128701000056
34,2.0098170640000035
35,2.007333960999972
36,2.007375410999998
37,2.0074075509999147
38,2.005650693000007
39,2.007173869999974
40,2.007265160000088
41,2.0077232419999973
42,2.008679906999987
43,2.007437201000016
44,2.0076487710000492
45,2.00714210000001
46,2.007247709000012
47,2.0068675180000355
48,2.0103322679999565
49,2.010026526000047
50,2.0092449619999115
51,2.0095988919999854
52,2.0095172599999387
53,2.0096062019999863
54,2.009214335000024
55,2.009147758999916
56,2.008925457000032
57,2.01030678799998
58,2.0089268679998895
59,2.0097989559999405
60,2.010921020000069
61,2.010874058999889
62,2.0081155780001154
63,2.009502006000048
64,2.011066201999938
65,2.010123526000143
66,2.0100709529999676
67,2.0092056310002135
68,2.0079887310000686
69,2.008336053999983
70,2.007037597999897
71,2.0073389159999806
72,2.0075628199999755
73,2.0075210279999283
74,2.0066093360001105
75,2.0068435559999216
76,2.0079326630000196
77,2.007940013000052
78,2.0070591980002064
79,2.0080223620000197
80,2.007391310999992
81,2.0066367360000186
82,2.0086635779998687
83,2.0079235519999656
84,2.0068490779999593
85,2.007431959000087
86,2.007675120000158
87,2.0063100750001013
88,2.0082325050000236
89,2.00685519700005
90,2.0074935790000836
91,2.0074574479999683
92,2.009137389000216
93,2.0068771869998727
94,2.007520728999907
95,2.008427815999994
96,2.007400061999988
97,2.007408211999973
98,2.0075007289999576
99,2.006459927000151
100,2.0077396149999913
