RoundNumber,ExecutionTime
1,2.2545003730000417
2,2.2568202380000457
3,2.249046092999947
4,2.2665247560000807
5,2.2651514240000097
6,2.2632443200000125
7,2.2478159680000545
8,2.2588915710000492
9,2.2714126010000655
10,2.25250032200006
11,2.252246638000088
12,2.2461011350000035
13,2.2581416439999202
14,2.2408965660000604
15,2.269923048999999
16,2.251272483999969
17,2.256680070000016
18,2.253476282000065
19,2.2686027070000137
20,2.255243709999945
21,2.2544477149999693
22,2.2648537860000033
23,2.2695629979999694
24,2.2582761310000024
25,2.2472722859999976
26,2.2554553359999545
27,2.2590431149999404
28,2.2563292999999476
29,2.261266493999983
30,2.2537504260000105
31,2.2466978699999345
32,2.2615965559999722
33,2.254604480000012
34,2.259788745000037
35,2.2786535599999524
36,2.2662361380000675
37,2.2745730890000004
38,2.25137010200001
39,2.248659959000065
40,2.271766644999957
41,2.2607702189999372
42,2.232994121000047
43,2.2929800800000066
44,2.2696380229999704
45,2.26137747100006
46,2.2521169350000037
47,2.2444262189999336
48,2.2450527119999606
49,2.2804208359998484
50,2.2513231329999144
51,2.261794934000136
52,2.265744636000136
53,2.2712266339999587
54,2.2542205029999423
55,2.252915310000162
56,2.264856989000009
57,2.2505005670000173
58,2.245798984999965
59,2.2684362449999753
60,2.243398445000139
61,2.252455528000155
62,2.2644537670000773
63,2.2525217310001153
64,2.2717515629999525
65,2.2500575949998165
66,2.2612045149999176
67,2.274085689000003
68,2.28415479399996
69,2.2644676980000895
70,2.2408095700000104
71,2.2464604890001283
72,2.2744093880000946
73,2.2543511589999525
74,2.257750243000146
75,2.2564227779998873
76,2.244791990000067
77,2.26376293300018
78,2.2467218869999215
79,2.247093629999881
80,2.2656106750000617
81,2.2616959599999973
82,2.2641518870000255
83,2.2513798500001485
84,2.2655558530000235
85,2.252829138000152
86,2.2436677129999225
87,2.2628343489998315
88,2.2516522639998584
89,2.264198944999862
90,2.255591853999931
91,2.2610816199999135
92,2.2468501189998733
93,2.272612608999907
94,2.241670683000166
95,2.2566635470000165
96,2.2867125180000585
97,2.2713522320000266
98,2.252302573999941
99,2.260414297000125
100,2.2530196709999473
